Date,Company,Ticker,Sector,RSI,PE,ROC
2002-05-01,JP Morgan Chase & Co.,JPM,Financial,40.94020051931491,11.819431,
2002-06-01,JP Morgan Chase & Co.,JPM,Financial,34.119570097420294,11.819431,
2002-07-01,JP Morgan Chase & Co.,JPM,Financial,25.149839628424488,11.819431,
2002-08-01,JP Morgan Chase & Co.,JPM,Financial,30.88472292190008,11.819431,
2002-09-01,JP Morgan Chase & Co.,JPM,Financial,26.85166768429508,11.819431,
2002-10-01,JP Morgan Chase & Co.,JPM,Financial,31.60430447579705,11.819431,
2002-11-01,JP Morgan Chase & Co.,JPM,Financial,42.221378813772525,11.819431,
2002-12-01,JP Morgan Chase & Co.,JPM,Financial,39.68799370314149,11.819431,
2003-01-01,JP Morgan Chase & Co.,JPM,Financial,35.524588630256275,11.819431,
2003-02-01,JP Morgan Chase & Co.,JPM,Financial,36.33424450208082,11.819431,
2003-03-01,JP Morgan Chase & Co.,JPM,Financial,39.85564107429464,11.819431,
2003-04-01,JP Morgan Chase & Co.,JPM,Financial,51.87631234454825,11.819431,
2003-05-01,JP Morgan Chase & Co.,JPM,Financial,49.36789932437279,11.819431,
2003-06-01,JP Morgan Chase & Co.,JPM,Financial,51.64744183229992,11.819431,
2003-07-01,JP Morgan Chase & Co.,JPM,Financial,51.34380890643614,11.819431,
2003-08-01,JP Morgan Chase & Co.,JPM,Financial,53.23963527061503,11.819431,
2003-09-01,JP Morgan Chase & Co.,JPM,Financial,68.22457199114628,11.819431,
2003-10-01,JP Morgan Chase & Co.,JPM,Financial,68.1740630315507,11.819431,
2003-11-01,JP Morgan Chase & Co.,JPM,Financial,88.28637559932409,11.819431,
2003-12-01,JP Morgan Chase & Co.,JPM,Financial,88.12186863551086,11.819431,
2004-01-01,JP Morgan Chase & Co.,JPM,Financial,86.72077486101261,11.819431,
2004-02-01,JP Morgan Chase & Co.,JPM,Financial,92.7185601015472,11.819431,
2004-03-01,JP Morgan Chase & Co.,JPM,Financial,95.68071527664968,11.819431,
2004-04-01,JP Morgan Chase & Co.,JPM,Financial,80.73475137824144,11.819431,
2004-05-01,JP Morgan Chase & Co.,JPM,Financial,78.51197614259975,11.819431,
2004-06-01,JP Morgan Chase & Co.,JPM,Financial,75.11216186419782,11.819431,
2004-07-01,JP Morgan Chase & Co.,JPM,Financial,64.65140518502923,11.819431,
2004-08-01,JP Morgan Chase & Co.,JPM,Financial,66.92390504762956,11.819431,
2004-09-01,JP Morgan Chase & Co.,JPM,Financial,65.78610350506256,11.819431,
2004-10-01,JP Morgan Chase & Co.,JPM,Financial,63.64622755107661,11.819431,
2004-11-01,JP Morgan Chase & Co.,JPM,Financial,61.55184244471125,11.819431,
2004-12-01,JP Morgan Chase & Co.,JPM,Financial,61.28775074248153,11.819431,
2005-01-01,JP Morgan Chase & Co.,JPM,Financial,57.06277512634439,11.819431,
2005-02-01,JP Morgan Chase & Co.,JPM,Financial,53.25431640893586,11.819431,
2005-03-01,JP Morgan Chase & Co.,JPM,Financial,43.73665238513682,11.819431,
2005-04-01,JP Morgan Chase & Co.,JPM,Financial,39.372652576355854,11.819431,
2005-05-01,JP Morgan Chase & Co.,JPM,Financial,38.49061076656136,11.819431,
2005-06-01,JP Morgan Chase & Co.,JPM,Financial,47.850973303523766,11.819431,
2005-07-01,JP Morgan Chase & Co.,JPM,Financial,48.67983313431501,11.819431,
2005-08-01,JP Morgan Chase & Co.,JPM,Financial,38.75727245805469,11.819431,
2005-09-01,JP Morgan Chase & Co.,JPM,Financial,43.15764490979596,11.819431,
2005-10-01,JP Morgan Chase & Co.,JPM,Financial,44.06612446217859,11.819431,
2005-11-01,JP Morgan Chase & Co.,JPM,Financial,51.15884924469292,11.819431,
2005-12-01,JP Morgan Chase & Co.,JPM,Financial,59.54464036092004,11.819431,
2006-01-01,JP Morgan Chase & Co.,JPM,Financial,62.19470876315608,11.819431,
2006-02-01,JP Morgan Chase & Co.,JPM,Financial,63.29455449308344,11.819431,
2006-03-01,JP Morgan Chase & Co.,JPM,Financial,72.08703925771935,11.819431,
2006-04-01,JP Morgan Chase & Co.,JPM,Financial,80.12210366717255,11.819431,
2006-05-01,JP Morgan Chase & Co.,JPM,Financial,77.75901667718361,11.819431,
2006-06-01,JP Morgan Chase & Co.,JPM,Financial,73.74168939125563,11.819431,
2006-07-01,JP Morgan Chase & Co.,JPM,Financial,77.6952087372473,11.819431,
2006-08-01,JP Morgan Chase & Co.,JPM,Financial,79.75397166820174,11.819431,
2006-09-01,JP Morgan Chase & Co.,JPM,Financial,81.65358415483618,11.819431,
2006-10-01,JP Morgan Chase & Co.,JPM,Financial,85.5555793985298,11.819431,
2006-11-01,JP Morgan Chase & Co.,JPM,Financial,82.23015477585838,11.819431,
2006-12-01,JP Morgan Chase & Co.,JPM,Financial,81.75123301075502,11.819431,
2007-01-01,JP Morgan Chase & Co.,JPM,Financial,82.34459305172787,11.819431,
2007-02-01,JP Morgan Chase & Co.,JPM,Financial,76.57595844500523,11.819431,
2007-03-01,JP Morgan Chase & Co.,JPM,Financial,73.00815218899315,11.819431,
2007-04-01,JP Morgan Chase & Co.,JPM,Financial,75.29897716633863,11.819431,
2007-05-01,JP Morgan Chase & Co.,JPM,Financial,74.8957624582782,11.819431,
2007-06-01,JP Morgan Chase & Co.,JPM,Financial,60.166049586393605,11.819431,
2007-07-01,JP Morgan Chase & Co.,JPM,Financial,55.11712466407954,11.819431,
2007-08-01,JP Morgan Chase & Co.,JPM,Financial,57.94662384523368,11.819431,
2007-09-01,JP Morgan Chase & Co.,JPM,Financial,53.9995987978421,11.819431,
2007-10-01,JP Morgan Chase & Co.,JPM,Financial,55.49340161118341,11.819431,
2007-11-01,JP Morgan Chase & Co.,JPM,Financial,50.786223792487554,11.819431,
2007-12-01,JP Morgan Chase & Co.,JPM,Financial,45.904196792293234,11.819431,
2008-01-01,JP Morgan Chase & Co.,JPM,Financial,54.42458384929006,11.819431,
2008-02-01,JP Morgan Chase & Co.,JPM,Financial,40.98645326580737,11.819431,
2008-03-01,JP Morgan Chase & Co.,JPM,Financial,40.5625295231776,11.819431,
2008-04-01,JP Morgan Chase & Co.,JPM,Financial,49.71841400677126,11.819431,
2008-05-01,JP Morgan Chase & Co.,JPM,Financial,45.47415522509943,11.819431,
2008-06-01,JP Morgan Chase & Co.,JPM,Financial,31.971994861472112,11.819431,
2008-07-01,JP Morgan Chase & Co.,JPM,Financial,40.45467976462962,11.819431,
2008-08-01,JP Morgan Chase & Co.,JPM,Financial,41.76138678127278,11.819431,
2008-09-01,JP Morgan Chase & Co.,JPM,Financial,54.41972280734557,11.819431,
2008-10-01,JP Morgan Chase & Co.,JPM,Financial,48.50061311647121,11.819431,
2008-11-01,JP Morgan Chase & Co.,JPM,Financial,40.47366669450929,11.819431,
2008-12-01,JP Morgan Chase & Co.,JPM,Financial,39.32335891733031,11.819431,
2009-01-01,JP Morgan Chase & Co.,JPM,Financial,36.40399394195444,11.819431,
2009-02-01,JP Morgan Chase & Co.,JPM,Financial,36.14894365782158,11.819431,
2009-03-01,JP Morgan Chase & Co.,JPM,Financial,36.29480647420037,11.819431,
2009-04-01,JP Morgan Chase & Co.,JPM,Financial,45.53389521551352,11.819431,
2009-05-01,JP Morgan Chase & Co.,JPM,Financial,46.89922496415131,11.819431,
2009-06-01,JP Morgan Chase & Co.,JPM,Financial,41.46098429554922,11.819431,
2009-07-01,JP Morgan Chase & Co.,JPM,Financial,47.836300894178265,11.819431,
2009-08-01,JP Morgan Chase & Co.,JPM,Financial,57.938204217465405,11.819431,
2009-09-01,JP Morgan Chase & Co.,JPM,Financial,53.85107099963842,11.819431,
2009-10-01,JP Morgan Chase & Co.,JPM,Financial,53.49068787048714,11.819431,
2009-11-01,JP Morgan Chase & Co.,JPM,Financial,47.04176268545701,11.819431,
2009-12-01,JP Morgan Chase & Co.,JPM,Financial,51.475813456137374,11.819431,
2010-01-01,JP Morgan Chase & Co.,JPM,Financial,59.43408979391644,11.819431,
2010-02-01,JP Morgan Chase & Co.,JPM,Financial,62.4267077025997,11.819431,
2010-03-01,JP Morgan Chase & Co.,JPM,Financial,73.94850011537628,11.819431,
2010-04-01,JP Morgan Chase & Co.,JPM,Financial,74.25428657455458,11.819431,
2010-05-01,JP Morgan Chase & Co.,JPM,Financial,66.41652162232938,11.819431,
2010-06-01,JP Morgan Chase & Co.,JPM,Financial,55.21688020260905,11.819431,
2010-07-01,JP Morgan Chase & Co.,JPM,Financial,54.88663602085514,11.819431,
2010-08-01,JP Morgan Chase & Co.,JPM,Financial,53.28769296328454,11.819431,
2010-09-01,JP Morgan Chase & Co.,JPM,Financial,49.50299633410995,11.819431,
2010-10-01,JP Morgan Chase & Co.,JPM,Financial,40.724793762029165,11.819431,
2010-11-01,JP Morgan Chase & Co.,JPM,Financial,39.77366740631812,11.819431,
2010-12-01,JP Morgan Chase & Co.,JPM,Financial,51.37286669879651,11.819431,
2011-01-01,JP Morgan Chase & Co.,JPM,Financial,53.82252760517149,11.819431,
2011-02-01,JP Morgan Chase & Co.,JPM,Financial,57.37641261522396,11.819431,
2011-03-01,JP Morgan Chase & Co.,JPM,Financial,60.99929725259067,11.819431,
2011-04-01,JP Morgan Chase & Co.,JPM,Financial,56.228250490720285,11.819431,
2011-05-01,JP Morgan Chase & Co.,JPM,Financial,48.264934854448576,11.819431,
2011-06-01,JP Morgan Chase & Co.,JPM,Financial,48.023201554765805,11.819431,
2011-07-01,JP Morgan Chase & Co.,JPM,Financial,52.20336878744492,11.819431,
2011-08-01,JP Morgan Chase & Co.,JPM,Financial,52.73784056917509,11.819431,
2011-09-01,JP Morgan Chase & Co.,JPM,Financial,34.774404071752,11.819431,
2011-10-01,JP Morgan Chase & Co.,JPM,Financial,48.297772479632506,11.819431,
2011-11-01,JP Morgan Chase & Co.,JPM,Financial,40.75667203979146,11.819431,
2011-12-01,JP Morgan Chase & Co.,JPM,Financial,45.034078153570256,11.819431,
2012-01-01,JP Morgan Chase & Co.,JPM,Financial,50.878857747309645,11.819431,
2012-02-01,JP Morgan Chase & Co.,JPM,Financial,47.283434313358384,11.819431,
2012-03-01,JP Morgan Chase & Co.,JPM,Financial,52.82873871889399,11.819431,
2012-04-01,JP Morgan Chase & Co.,JPM,Financial,47.09226493096982,11.819431,
2012-05-01,JP Morgan Chase & Co.,JPM,Financial,38.75890881105397,11.819431,
2012-06-01,JP Morgan Chase & Co.,JPM,Financial,42.080232716092745,11.819431,
2012-07-01,JP Morgan Chase & Co.,JPM,Financial,44.10355094096366,11.819431,
2012-08-01,JP Morgan Chase & Co.,JPM,Financial,47.67620409760511,11.819431,
2012-09-01,JP Morgan Chase & Co.,JPM,Financial,51.41771410368671,11.819431,
2012-10-01,JP Morgan Chase & Co.,JPM,Financial,55.11836684666896,11.819431,
2012-11-01,JP Morgan Chase & Co.,JPM,Financial,63.69761313363035,11.819431,
2012-12-01,JP Morgan Chase & Co.,JPM,Financial,62.35243654055871,11.819431,
2013-01-01,JP Morgan Chase & Co.,JPM,Financial,70.09598944684265,11.819431,
2013-02-01,JP Morgan Chase & Co.,JPM,Financial,70.0903456632054,11.819431,
2013-03-01,JP Morgan Chase & Co.,JPM,Financial,64.54136407035068,11.819431,
2013-04-01,JP Morgan Chase & Co.,JPM,Financial,64.00045533580021,11.819431,
2013-05-01,JP Morgan Chase & Co.,JPM,Financial,63.41187041590337,11.819431,
2013-06-01,JP Morgan Chase & Co.,JPM,Financial,65.29326721087213,11.819431,
2013-07-01,JP Morgan Chase & Co.,JPM,Financial,88.42721795436778,11.819431,
2013-08-01,JP Morgan Chase & Co.,JPM,Financial,74.57076428716383,11.819431,
2013-09-01,JP Morgan Chase & Co.,JPM,Financial,75.2518041950594,11.819431,
2013-10-01,JP Morgan Chase & Co.,JPM,Financial,73.83267159618548,11.819431,
2013-11-01,JP Morgan Chase & Co.,JPM,Financial,75.95384872954705,11.819431,
2013-12-01,JP Morgan Chase & Co.,JPM,Financial,76.0234104223509,11.819431,
2014-01-01,JP Morgan Chase & Co.,JPM,Financial,70.3349981021842,11.819431,
2014-02-01,JP Morgan Chase & Co.,JPM,Financial,69.5473646578206,11.819431,
2014-03-01,JP Morgan Chase & Co.,JPM,Financial,70.2879763920765,11.819431,
2014-04-01,JP Morgan Chase & Co.,JPM,Financial,60.43288162051318,11.819431,
2014-05-01,JP Morgan Chase & Co.,JPM,Financial,62.55240844867783,11.819431,
2014-06-01,JP Morgan Chase & Co.,JPM,Financial,63.08023174203591,11.819431,
2014-07-01,JP Morgan Chase & Co.,JPM,Financial,56.813158242915286,11.819431,
2014-08-01,JP Morgan Chase & Co.,JPM,Financial,62.54892868605486,11.819431,
2014-09-01,JP Morgan Chase & Co.,JPM,Financial,60.11804506099562,11.819431,
2014-10-01,JP Morgan Chase & Co.,JPM,Financial,70.80173159912063,11.819431,
2014-11-01,JP Morgan Chase & Co.,JPM,Financial,69.63514099689539,11.819431,
2014-12-01,JP Morgan Chase & Co.,JPM,Financial,72.59673432669275,11.819431,
2015-01-01,JP Morgan Chase & Co.,JPM,Financial,47.79755347034912,11.819431,
2015-02-01,JP Morgan Chase & Co.,JPM,Financial,56.45349065092823,11.819431,
2015-03-01,JP Morgan Chase & Co.,JPM,Financial,60.29984438129167,11.819431,
2015-04-01,JP Morgan Chase & Co.,JPM,Financial,61.33103678848516,11.819431,
2015-05-01,JP Morgan Chase & Co.,JPM,Financial,60.38846275598773,11.819431,
2015-06-01,JP Morgan Chase & Co.,JPM,Financial,71.7269972225961,11.819431,
2015-07-01,JP Morgan Chase & Co.,JPM,Financial,72.53677924360233,11.819431,
