Date,JPM,GS,BAC,XOM,CVX,SLB,GE,CAT,MMM,JNJ,PFE,MRK,MSFT,INTC,CSCO,AMZN,HD,F,PG,KO,PEP,SPG,PSA,EQR,T,VZ,CMCSA,DD,SHW,DUK,SO,EXC
1/1/1997,13.17078114,49.4451828,11.76247501,10.34415913,11.84741402,13.22703934,40.53788376,8.918231964,16.63879585,12.42526436,5.114648342,14.57705021,6.26605463,9.214551926,4.599497795,0.097916998,6.405972004,4.324976921,13.08771133,12.45423794,13.81367493,7.074275494,9.967553139,4.970448494,3.288172722,8.21855545,1.999241352,15.29644489,5.980874062,11.10768414,3.640607595,3.098190308
2/1/1997,13.8442831,49.4451828,13.06102657,10.89619541,11.93733215,14.69854641,42.97740555,9.532463074,16.4458847,14.42328739,5.778378487,16.5389061,7.830164433,11.47118855,5.102423668,0.097916998,6.454876423,4.410155296,14.24966621,13.89473248,16.33056259,6.812265873,9.925142288,5.261029243,3.474702597,8.341087341,2.100652456,14.98081589,5.994371891,11.41199684,3.632610321,2.850332737
3/1/1997,14.98549938,49.4451828,14.49546623,10.6228857,11.69246197,13.35781479,42.71789551,9.609213829,17.85858727,14.40581703,5.745183945,16.81264877,7.48472023,10.03066158,4.06913805,0.097916998,7.123183727,4.513117313,14.804245,14.64498329,15.45258617,7.134030342,9.119250298,5.536314011,3.632642746,8.573643684,2.02097106,15.73348427,6.083130836,10.89919472,3.611853123,2.843101263
4/1/1997,14.05008411,49.4451828,13.47977066,11.41761684,12.62151241,14.23727036,41.42101288,9.854815483,16.42699432,13.24708748,5.274911404,15.44656467,7.038514137,9.836236954,3.520488501,0.097916998,6.983880043,4.307195663,14.1418314,13.41484165,15.21375942,7.163636208,9.914566994,5.510377407,3.352109671,7.534885883,1.900168419,15.65622807,5.852810383,10.86840439,3.50806284,2.57458663
5/1/1997,13.87814045,49.4451828,14.66380501,12.00042057,12.4175787,14.70189285,46.32474136,10.98123169,16.88800812,15.3140049,6.019515514,16.56954384,9.327111244,10.82974434,3.785669327,0.097916998,7.57131052,4.827840328,15.55490685,15.30976391,16.38856125,6.778809071,9.188061714,5.42512846,3.54365921,8.505656242,1.842149019,16.58728027,6.557314396,10.80682278,3.383516073,2.495614052
6/1/1997,14.23592758,49.4451828,14.29948235,12.64612961,12.79419422,15.86355209,50.39382172,12.04542446,17.93795204,15.0859108,6.480640411,16.47787476,9.519021034,10.71481705,4.956117153,0.075000003,8.24032402,5.209898949,17.05473709,16.48280907,17.26966286,7.288405895,9.102597237,5.859136581,3.735208273,8.788128853,2.023461819,16.34225082,6.524516582,11.2457056,3.564927578,2.454392195
7/1/1997,14.6219511,49.4451828,15.76776028,13.07300758,13.51386833,16.64590836,54.25421524,13.24842739,19.96359444,16.18591499,7.518796921,18.84687424,9.701347351,10.02966976,4.910396576,0.077082999,9.017591476,5.27936554,17.47221565,16.3960762,17.71031952,7.710042,10.08068085,5.970056534,3.950700998,9.525704384,2.432620764,17.19625854,6.714813709,11.94661903,3.691493273,2.712748289
8/1/1997,17.21756744,49.4451828,17.38574791,13.7133112,14.43916225,20.34129143,58.76169968,13.88029194,18.4992733,15.6201992,7.524884224,19.13470078,10.85284138,12.99127102,5.820238113,0.119791999,9.764974594,5.737027645,18.87992096,16.66733742,18.03445816,7.710042,10.23146439,6.339260101,3.815569639,9.109836578,2.614160299,18.80456161,6.973071098,12.63195419,3.757231951,3.035695314
9/1/1997,16.85748291,49.4451828,14.59242439,13.14659119,14.26073456,20.29136467,52.42463684,14.39151573,17.6480999,14.3063879,6.996410847,16.91268921,10.14754772,13.03550053,5.51391077,0.116926998,9.250382423,6.035284042,16.52186775,13.81911755,16.97361565,7.757901192,9.671425819,6.119306564,3.50532937,9.086298943,2.701297998,17.51792526,5.987085342,12.20565128,3.607369423,3.13677597
10/1/1997,17.89034653,49.4451828,15.1967659,13.76432133,15.29663181,22.47608185,57.25598907,13.36907864,18.15127754,14.55875683,7.587993622,18.49637032,10.15714645,13.06202507,5.344744205,0.216927007,10.22848034,6.333535194,17.14240456,14.74406528,19.18708229,8.079232216,10.28935051,6.942162991,3.960618258,10.09850216,2.980027199,18.12432289,6.423506737,12.4576416,3.864275694,3.087376595
11/1/1997,17.59306908,49.4451828,14.69021511,13.20031643,15.27360439,23.3604393,54.3643074,12.75610065,17.96719933,14.47988892,8.960453033,16.51833534,9.979627609,10.89919186,6.000833988,0.254166991,10.93981838,6.189544678,16.93714333,13.68659115,18.9518795,7.5742836,9.55129528,6.425281048,4.139558315,10.13580894,3.169006109,18.11183167,6.05527544,12.22140312,3.984196663,2.996814013
12/1/1997,16.57387161,49.4451828,14.75161648,13.19463444,14.87022018,21.97549248,62.14561844,11.93162346,19.24144745,15.94222927,9.203075409,17.55072784,10.86243439,10.98765659,6.309448242,0.206249997,11.00114632,6.092144012,18.97646141,15.13967037,18.9518795,8.135523796,9.594711304,6.361661434,4.725116253,11.30775547,3.241689205,19.73565292,6.254518986,13.25172424,4.168748379,3.266551018
1/1/1998,16.68817329,49.4451828,15.0283823,13.23518658,14.27912903,21.54714012,61.98767471,12.07162571,16.20526886,16.686306,9.432365417,19.71165848,9.922048569,9.943740845,6.117423058,0.251042008,11.5629158,6.880222797,19.87935638,16.15404129,18.69590569,8.135523796,10.28441811,6.488012314,4.765778542,11.52947617,3.709743023,20.46509933,6.076597214,14.11180973,4.494432926,3.258154392
2/1/1998,16.42875862,49.4451828,14.79670429,12.82962513,13.8618803,19.72366905,65.47247314,12.01192284,16.48914146,16.95544815,10.34160709,21.82694817,11.45258045,11.46972466,6.919820309,0.245832995,11.88206959,7.286924362,19.58241081,15.68470097,18.63144112,8.259963036,11.50980091,6.560191631,5.100283146,11.82828522,3.615179062,18.14638519,6.268199921,13.80919075,4.279811859,2.544382334
3/1/1998,19.01522064,49.4451828,16.92818069,13.88136673,15.11680698,20.29322243,65.68365479,13.6541872,16.95285988,19.15358734,11.22131634,23.72140694,13.01189232,12.69988632,7.228432655,0.320832998,12.54489994,8.081700325,21.20647812,16.62336731,18.82484818,7.802472115,10.78770065,6.159204006,4.960887909,11.46888924,4.051618099,18.44882393,7.348521709,14.30051994,4.345824242,2.694909096
